twitter_handle,state,lat,long,org_type
MetroCommunity2,MI,43.0159719,-83.6901975,non-profit
hwmuw,MI,42.959797,-85.66909,non-profit
HRI_Wisconsin,MI,42.270294,-85.578384,non-profit
unitedwaybckr,MI,42.2846712,-85.5889846,non-profit
lansingmichigan,MI,42.733685,-84.55317,government
WashtenawOCED,MI,42.241013,-83.617714,government
uwsaginaw,MI,43.4315419,-83.9354716,government
H2Lenawee,MI,41.89672,-84.033554,government
NWMICommAction,MI,44.74267,-85.56054,non-profit
Goodwillnmi,MI,44.733255,-85.6188109,non-profit
mercyhealthwm,MI,43.23332,-86.25649,non-profit
CAAJLH,MI,42.23441,-84.41517,non-profit
olhsacommaction,MI,42.5970534,-83.9080828,non-profit
OttawaUnitedWay,MI,42.79261,-86.08425,non-profit
Hennepin,MN,44.9759268,-93.2668175,government
ramseycounty,MN,44.94645,-93.08804,government
threeriverscap,MN,44.302643,-92.68618,non-profit
HearthConnect,MN,44.963979,-93.1995682,non-profit
CMHP_Inc,MN,45.553925,-94.19181,non-profit
NMF_1986,MN,47.4706809,-94.8814896,non-profit
claycountymn,MN,46.8768227,-96.700638,government
StLouisCountyMN,MN,46.7845762,-92.1047214,government
SWMHP,MN,43.99048,-95.756294,non-profit
SaintLouCo,MO,38.7322256,-90.3984491,government
STLCityGov,MO,38.628475,-90.20272,government
CommunitySTC,MO,38.7481015,-90.6512209,government
CityofSgf,MO,37.2169271,-93.2920838,government
ESChelps,MO,37.0884455,-94.5146304,non-profit
citystjoemo,MO,39.76849,-94.8476,government
gkcceh,MO,39.06831,-94.56444,non-profit
stewpotjackson,MS,32.30753,-90.20143,non-profit
mutehinc,MS,32.300484,-90.18944,non-profit
pathwaysmisi,MT,33.77541,-84.297803,non-profit
CityofWS,NC,36.09491,-80.242485,government
cityofasheville,NC,35.595475,-82.54852,government
mihomeless,NC,42.7866473,-84.542204,non-profit
CityofDurhamNC,NC,35.995995,-78.89966,government
nchomelessness,NC,35.784676,-78.6450378,non-profit
PEH_GC,NC,35.951107,-80.02791,non-profit
MeckCounty,NC,35.243946,-80.89114,government
raleighhomeless,NC,35.785046,-78.66061,government
CumberlandNC,NC,35.04832,-78.92156,government
OCNCGOV,NC,36.07435,-79.096344,government
hosphousenwnc,NC,36.213787,-81.64094,non-profit
NDCHP,ND,46.8771863,-96.7898034,non-profit
UNLCCFL,NE,40.821743,-96.6893099,non-profit
macch_oma,NE,41.259594,-96.005196,non-profit
cityoflincoln,NE,40.807884,-96.70704,government
NHDHHSPIO,NH,43.199368,-71.54973,government
FITNH,NH,42.990784,-71.46547,non-profit
harborcare,NH,42.73712,-71.487946,non-profit
njhousing,NJ,40.210766,-74.752594,government
atlantic_county,NJ,39.3625885,-74.4281058,government
bergencountynj,NJ,40.8769928,-74.0433671,government
burlconj,NJ,40.0118081,-74.8015003,government
cpacnj,NJ,39.931385,-75.06779,non-profit
Joe_D_EssexExec,NJ,40.7628222,-74.2162359,government
HudCoTweet,NJ,40.72777,-74.067024,government
MiddlesexCntyNJ,NJ,40.494034,-74.44639,government
homemiddlesex,NJ,40.494222,-74.4462341,non-profit
monmouthgovnj,NJ,40.266987,-74.24479,government
morriscountynj,NJ,40.7967667,-74.4815438,government
monarchhousing,NJ,40.656776,-74.304,non-profit
passaic_county,NJ,40.912785,-74.171135,government
SomersetCntyNJ,NJ,40.567272,-74.61061,government
CityofTrentonNJ,NJ,40.22062,-74.75938,government
countyofunionnj,NJ,40.6621432,-74.2170028,government
FPSussex,NJ,41.05729,-74.75466,government
fcsABQ,NM,35.08821,-106.65103,government
nmceh,NM,35.08821,-106.65103,non-profit
ClarkCountyNV,NV,36.164333,-115.16331,government
CityofReno,NV,39.525883,-119.812836,government
DhhsNevada,NV,39.1925392,-119.750061,government
caresny,NY,42.663,-73.75939,non-profit
ChemungSchuy_CC,NY,42.09095,-76.80451,non-profit
hhccny,NY,43.058716,-76.135506,non-profit
HAWNY716,NY,42.8999523,-78.8705536,non-profit
211Tomp_Cort,NY,42.4394279,-76.4969274,non-profit
flacrany,NY,42.961958,-77.1341576,non-profit
chautopp,NY,42.48085,-79.32112,non-profit
UnitedWayMV,NY,43.102623,-75.23208,non-profit
nysotda,NY,42.6509832,-73.7522905,government
NYCDHS,NY,40.708916,-74.01319,government
dutchesscogov,NY,41.70878,-73.9227,government
HONORehg,NY,41.453556,-74.43766,non-profit
addresshomeless,NY,40.70621,-73.40366,non-profit
westchestergov,NY,41.028313,-73.76666,government
CCCSOC,NY,41.655636,-74.68189,government
RUPCO_,NY,41.93405,-74.01884,non-profit
toendhomeless,OH,39.123672,-84.48468,non-profit
CuyahogaHHS,OH,41.501953,-81.698616,government
CommShelterBd,OH,40.118877,-83.00666,non-profit
MCOhio,OH,39.7586803,-84.2004686,government
AkronOhioMayor,OH,41.080162,-81.51806,government
OhioDevelopment,OH,39.960606,-83.000336,government
COHHIO,OH,39.9588156,-82.9974925,non-profit
starkmharnews,OH,40.79239,-81.38023,non-profit
CSC_AWH4T,OK,36.158047,-95.98371,non-profit
cityofokc,OK,35.4674885,-97.5205361,government
NWDCSAlva,OK,36.436257,-99.4070779,non-profit
cityofnormanok,OK,35.22098,-97.446045,government
kibois_caf,OK,35.253708,-95.1230169,non-profit
LaneCountyGov,OR,44.0524608,-123.0954155,government
ahfe_multco,OR,45.522083,-122.67841,government
accesshelps,OR,42.368538,-122.862144,government
neighborimpact,OR,44.25387,-121.16884,non-profit
OregonHCS,OR,44.933186,-123.04307,government
washcooregon,OR,45.52395,-122.98997,government
clackamascounty,OR,45.33227,-122.59838,government
PHLCityHomeless,PA,39.9539365,-75.1644682,government
cach_pa,PA,40.26007,-76.88248,non-profit
DelcoCouncil,PA,39.960934,-75.25882,government
CEOWeinbergFB,PA,41.238083,-75.87297,non-profit
MontCoPA,PA,40.1229829,-75.3325371,government
chescogovt,PA,39.959442,-75.5862,government
uncnepa,PA,41.41739,-75.598854,non-profit
PADCEDnews,PA,40.2664611,-76.8838063,government
lghealth,PA,40.047104,-76.30537,non-profit
BucksCountyGovt,PA,40.2722396,-75.1312879,government
yorkcountypa,PA,39.962646,-76.72712,government
Allegheny_Co,PA,40.4371183,-80.0010428,government
beaverctypa,PA,40.749058,-80.32343,government
CountyofErie,PA,42.125443,-80.08614,government
CoalicionSJ,PR,18.3900892,-66.0678215,non-profit
DeptoFamiliaPR,PR,18.4240092,-66.045513,government
CoalicionPR,PR,18.0128125,-66.6112405,non-profit
caguasgovpr,PR,18.2387995,-66.035249,government
RIHousing,RI,41.823895,-71.41356,government
One80Place,SC,32.7764749,-79.9310512,non-profit
UHChomeless,SC,34.840633,-82.366486,non-profit
uwmidlands,SC,34.009396,-81.03713,non-profit
echousingsc,SC,33.678005,-78.900856,non-profit
firsthomesd,SD,44.3761679,-100.3114654,government
CAFTHMemphis,TN,35.145987,-90.0508479,non-profit
CityKnoxvilleTN,TN,35.961315,-83.91737,government
_chp_wc,TN,35.918358,-86.8757,government
nashvillemdha,TN,36.16612,-86.75904,government
NashvilleMSS,TN,36.171658,-86.78122,government
TennesseeHomel1,TN,35.668934,-88.834755,non-profit
wthealthcare,TN,35.639538,-88.83267,non-profit
ARCHhomeless,TN,36.35469,-82.38238,non-profit
cityofmborotn,TN,35.84507,-86.3929,government
TVCHomeless,TN,35.973816,-83.982,non-profit
HavenForHope,TX,29.4328657,-98.506115,non-profit
sarahomeless,TX,29.4882561,-98.5682387,non-profit
atxecho,TX,30.328571,-97.71165,non-profit
mdhadallas,TX,32.788006,-96.78658,non-profit
theTCHC,TX,32.741547,-97.28948,non-profit
prosperwaco,TX,31.537687,-97.1906,non-profit
cityofwaco,TX,31.549333,-97.1466695,government
TXHomeNet,TX,30.229868,-97.78535,non-profit
cityofamarillo,TX,35.2044905,-101.8334921,government
homelessHOU,TX,29.746365,-95.365685,government
TwinCityMission,TX,30.6743643,-96.3699632,non-profit
SLCoRegionalDev,UT,40.7271348,-111.8874306,government
UtahGov,UT,40.7395699,-111.887429,government
JobsUT,UT,40.7395699,-111.887429,government
UnitedWayUC,UT,40.2357343,-111.660157,government
homewardva,VA,37.536922,-77.56687,non-profit
CoCTeamTPC,VA,36.88018,-76.22074,non-profit
City_of_Roanoke,VA,37.272247,-79.94738,government
cityofvabeach,VA,36.7515516,-76.0550502,government
cityofhampton,VA,36.87803,-76.2217,government
cityofPortsVA,VA,36.834835,-76.321014,government
MiriamsHouseLYH,VA,37.435123,-79.16657,non-profit
HarrisonburgVA,VA,38.453827,-78.85931,government
fredregioncoc,VA,38.29753,-77.457,government
vadhcd,VA,37.53979,-77.43893,government
ArlingtonVA,VA,38.87312,-77.08259,government
fairfaxcounty,VA,38.854755,-77.361435,government
loudouncogovt,VA,39.114468,-77.54165,government
AlexandriaVAGov,VA,38.8281177,-77.058695,government
pwcgov,VA,38.6308048,-77.2949801,government
vihfa340,VI,18.3381244,-64.9410542,government
CEDOBTV,VT,44.475266,-73.212456,government
KingCountyWA,WA,47.602325,-122.32794,government
wastatecommerce,WA,47.03696,-122.89162,government
spokanecity,WA,47.660133,-117.423706,government
PierceCo,WA,47.25059,-122.44393,government
snocounty,WA,47.977802,-122.20581,government
MayorOfMKE,WI,43.041058,-87.9097,government
HaloRacine,WI,42.707924,-87.80641,non-profit
cityofmadison,WI,43.073055,-89.381996,government
HarmonyHouseWV,WV,38.419964,-82.44849,non-profit
presteracenter,WV,38.4098944,-82.3290383,non-profit
KVC_CoC,WV,38.3547974,-81.6305225,non-profit
wvceh,WV,39.2882845,-80.2405395,non-profit
